,title,release_date,genre,run_time,certification,user_score,original_language,movie_budget,movie_revenue,keywords,actors,director_list
0,Dilwale Dulhania Le Jayenge,10/20/1995 ,"['Comedy', 'Drama', 'Romance']",3h 10m,U,88,Hindi,13200000,100000000,[],"['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Anupam Kher', 'Satish Shah', 'Farida Jalal', 'Achala Sachdev', 'Himani Shivpuri']",['Aditya Chopra']
0,The Shawshank Redemption,10/14/1994 ,"['Drama', 'Crime']",2h 22m,R,87,English,25000000,28341469,"['prison', 'corruption', 'police brutality', 'prison cell', 'delinquent', 'parole board', 'prison escape', 'wrongful imprisonment', 'framed for murder', '1940s']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'Clancy Brown', 'Mark Rolston', 'James Whitmore', 'Gil Bellows', 'William Sadler']",['Frank Darabont']
0,The Godfather,03/15/1972 ,"['Drama', 'Crime']",2h 55m,R,87,English,6000000,245066411,"['italy', 'loss of loved one', 'love at first sight', 'italian american', 'europe', 'patriarch', 'organized crime', 'mafia', 'lawyer', 'crime family', 'rise to power', 'mob boss', '1940s', '1950s']","['Marlon Brando', 'Al Pacino', 'James Caan', 'Richard S. Castellano', 'Robert Duvall', 'Sterling Hayden', 'John Marley', 'Richard Conte']",['Francis Ford Coppola']
0,Schindler's List,02/04/1994 ,"['Drama', 'History', 'War']",3h 15m,R,86,English,22000000,321365567,"['based on novel or book', 'factory', 'concentration camp', 'hero', 'holocaust (shoah)', 'world war ii', 'ghetto', 'jew persecution', 'krakow', 'auschwitz-birkenau concentration camp', 'industrialist', 'jew / jewish', 'nazi', 'defense industry', 'biography', 'based on a true story', 'train', 'poland', 'ss', 'weapons manufacturer']","['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Mark Ivanir']",['Steven Spielberg']
0,Your Name.,08/26/2016 ,"['Romance', 'Animation', 'Drama']",1h 46m,PG,86,Japanese,,357986087,"['time travel', 'supernatural', 'afterlife', 'romance', 'school', 'body-swap', 'star crossed lovers', 'anime']","['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Masami Nagasawa', 'Etsuko Ichihara', 'Ryô Narita', 'Aoi Yuki', 'Shimazaki Nobunaga', 'Kaito Ishikawa']",['Makoto Shinkai']
0,The Godfather: Part II,12/20/1974 ,"['Drama', 'Crime']",3h 22m,R,86,English,13000000,102600000,"['italy', 'italian american', 'cuba', 'melancholy', 'praise', 'revenge', 'mafia', 'lawyer', 'blood', 'suburb', 'corrupt politician', 'bloody body of child', 'man punches woman']","['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert De Niro', 'John Cazale', 'Talia Shire', 'Lee Strasberg', 'Michael V. Gazzo']",['Francis Ford Coppola']
0,Parasite,11/01/2019 ,"['Comedy', 'Thriller', 'Drama']",2h 13m,R,85,Korean,11363000,245924070,"['underground', 'seoul', 'birthday party', 'private lessons', 'basement', 'con artist', 'working class', 'psychological thriller', 'limousine driver', 'class differences', 'rich poor', 'housekeeper', 'tutor', 'family', 'crime family', 'flood', 'smell', 'unemployed', 'wealthy family']","['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-shik', 'Park So-dam', 'Lee Jung-eun', 'Chang Hyae-jin', 'Park Myung-hoon']",['Bong Joon-ho']
0,Justice League Dark: Apokolips War,05/05/2020 ,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",1h 30m,R,85,English,,,"['dc comics', 'superhero']","['Matt Ryan', ""Jerry O'Connell"", 'Taissa Farmiga', ""Jason O'Mara"", 'Rosario Dawson', 'Stuart Allan', 'Rebecca Romijn', 'Rainn Wilson']","['Christina Sotta', 'Matt Peters']"
0,Spirited Away,07/20/2001 ,"['Animation', 'Family', 'Fantasy']",2h 5m,PG,85,Japanese,19000000,274925095,"['witch', 'parent child relationship', 'magic', 'darkness', 'bath house', 'ghost world', 'spirit', 'parallel world', 'amusement park', 'youkai', 'japanese mythology', 'anime']","['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki', 'Bunta Sugawara', 'Yumi Tamai', 'Ryunosuke Kamiki', 'Takashi Naitō', 'Yasuko Sawaguchi']",['Hayao Miyazaki']
0,The Green Mile,12/10/1999 ,"['Fantasy', 'Drama', 'Crime']",3h 9m,R,85,English,60000000,286801374,"['southern usa', 'mentally disabled', 'based on novel or book', 'death row', 'jail guard', 'great depression', 'supernatural', 'prison guard', 'jail', 'electric chair', 'magic realism', 'healing', '1930s']","['Tom Hanks', 'David Morse', 'Bonnie Hunt', 'Michael Clarke Duncan', 'James Cromwell', 'Michael Jeter', 'Graham Greene', 'Doug Hutchison']",['Frank Darabont']
0,Mortal Kombat Legends: Scorpion's Revenge,04/12/2020 ,"['Fantasy', 'Action', 'Adventure', 'Animation']",1h 20m,R,85,English,,,"['video game', 'magic', 'ninja fighter', 'revenge', 'sorcerer', 'shaolin monk', 'fighting', 'based on video game', 'god of thunder']","['Joel McHale', 'Jennifer Carpenter', 'Jordan Rodrigues', 'Patrick Seitz', 'Steve Blum', 'Artt Butler', 'Darin De Paul', 'Robin Atkin Downes']",['Ethan Spaulding']
0,Pulp Fiction,10/14/1994 ,"['Thriller', 'Crime']",2h 34m,R,85,English,8000000,214179088,"['transporter', 'drug dealer', 'boxer', 'massage', 'stolen money', 'crime boss', 'dance competition', 'junkyard', 'kamikaze', 'briefcase', 'redemption', 'heirloom', 'los angeles, california', 'theft', 'violence', 'nonlinear timeline', 'shared universe']","['John Travolta', 'Samuel L. Jackson', 'Uma Thurman', 'Bruce Willis', 'Ving Rhames', 'Harvey Keitel', 'Eric Stoltz', 'Tim Roth']",['Quentin Tarantino']
0,Life Is Beautiful,10/22/1998 ,"['Comedy', 'Drama']",1h 56m,PG-13,85,Italian,20000000,229400000,"['italy', 'riddle', 'loss of loved one', 'bookshop', 'self sacrifice', 'mass murder', 'concentration camp', 'fascism', 'world war ii', ""love of one's life"", 'deportation', 'jew persecution', 'nazi', 'national socialism', 'charade', 'riding a bicycle', 'story teller', 'concentration camp prisoner', 'dying and death']","['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano', 'Amerigo Fontani', 'Sergio Bini Bustric', 'Lidia Alfonsi', 'Horst Buchholz']",['Roberto Benigni']
0,The Lord of the Rings: The Return of the King,12/17/2003 ,"['Adventure', 'Fantasy', 'Action']",3h 21m,PG-13,85,English,94000000,1118888979,"['elves', 'dwarf', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'based on novel or book', 'suspicion', 'volcano', 'power', 'giant spider', 'bravery', 'war', 'addiction', 'honor', 'royalty', 'troll', 'brutality', 'violence', 'ghost', 'wizard', 'quest', 'sword and sorcery']","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Sean Astin', 'Liv Tyler', 'Orlando Bloom', 'John Rhys-Davies', 'Dominic Monaghan']",['Peter Jackson']
0,Once Upon a Time in America,06/01/1984 ,"['Drama', 'Crime']",3h 49m,R,84,English,20000000,5472914,"['new york city', 'life and death', 'corruption', 'street gang', 'rape', 'sadistic', 'lovesickness', 'sexual abuse', 'regret', 'prohibition era', 'money laundering', 'opium', 'gangster', 'mafia boss', 'murder', 'memory', 'torture', 'brooklyn bridge', 'childhood friends', '1920s', '1960s', '1930s']","['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Joe Pesci', 'Tuesday Weld', 'Burt Young', 'Treat Williams', 'Danny Aiello']",['Sergio Leone']
0,Forrest Gump,07/06/1994 ,"['Comedy', 'Drama', 'Romance']",2h 22m,PG-13,84,English,55000000,677387716,"['vietnam veteran', 'hippie', 'washington d.c.', 'mentally disabled', 'based on novel or book', 'parent child relationship', 'vietnam war', 'friendship', 'love', 'family relationships', 'military', 'wounded soldier', 'low iq', 'false history']","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field', 'Michael Conner Humphreys', 'Hanna Hall', 'Haley Joel Osment']",['Robert Zemeckis']
0,The Dark Knight,07/18/2008 ,"['Drama', 'Action', 'Crime', 'Thriller']",2h 32m,PG-13,84,English,185000000,1004558444,"['dc comics', 'crime fighter', 'secret identity', 'scarecrow', 'sadism', 'chaos', 'vigilante', 'joker', 'superhero', 'based on comic', 'tragic hero', 'organized crime', 'criminal mastermind', 'district attorney', 'super power', 'imax', 'super villain', 'batman']","['Christian Bale', 'Michael Caine', 'Heath Ledger', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman', 'Monique Gabriela Curnen']",['Christopher Nolan']
0,GoodFellas,09/21/1990 ,"['Drama', 'Crime']",2h 25m,R,84,English,25000000,46836394,"['new york city', 'prison', 'based on novel or book', 'florida', '1970s', 'mass murder', 'irish-american', 'drug traffic', 'gangster', 'biography', 'based on a true story', 'murder', 'organized crime', 'gore', 'mafia', 'violence', 'brooklyn, new york city', 'crime epic', 'tampa']","['Ray Liotta', 'Robert De Niro', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr']",['Martin Scorsese']
0,A Dog's Will,09/15/2000 ,"['Adventure', 'Comedy']",1h 44m,14,84,Portuguese,,,['brazilian'],"['Matheus Nachtergaele', 'Selton Mello', 'Lima Duarte', 'Rogério Cardoso', 'Denise Fraga', 'Diogo Vilela', 'Luís Melo', 'Virginia Cavendish']",['Guel Arraes']
0,"The Good, the Bad and the Ugly",12/29/1966 ,['Western'],2h 41m,R,84,Italian,1200000,25118063,"['bounty hunter', 'refugee', 'gold', 'anti hero', 'gallows', 'hitman', 'army', 'outlaw', 'shootout', 'moral ambiguity', 'spaghetti western']","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè', 'Luigi Pistilli', 'Rada Rassimov', 'Enzo Petito', 'Claudio Scarchilli']",['Sergio Leone']
0,12 Angry Men,04/10/1957 ,['Drama'],1h 37m,PG,84,English,350000,1000000,"['judge', 'jurors', 'sultriness', 'death penalty', 'father murder', 'puerto rican', 'anonymity', 'court case', 'heat', 'class', 'innocence', 'court', 'courtroom']","['Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Henry Fonda']",['Sidney Lumet']
0,Psycho,09/08/1960 ,"['Horror', 'Drama', 'Thriller']",1h 49m,R,84,English,806948,32000000,"['hotel', 'clerk', 'arizona', 'shower', 'rain', 'motel', 'taxidermy', 'money', 'secretary', 'corpse', 'murderer', 'theft', 'private detective', 'proto-slasher']","['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson']",['Alfred Hitchcock']
0,One Flew Over the Cuckoo's Nest,11/18/1975 ,['Drama'],2h 13m,R,84,English,3000000,108981275,"['nurse', 'based on novel or book', 'oregon, usa', 'lunatic asylum', 'friendship', 'hospital', 'female villain', 'shock treatment']","['Jack Nicholson', 'Louise Fletcher', 'Danny DeVito', 'William Redfield', 'Scatman Crothers', 'Brad Dourif', 'Christopher Lloyd', 'Will Sampson']",['Miloš Forman']
0,Cinema Paradiso,02/23/1990 ,"['Drama', 'Romance']",2h 4m,PG,84,Italian,,11990401,"['sicily', 'movie business', 'parent child relationship', 'cinema', 'kiss', 'flashback', 'coming of age', 'haunted by the past', 'censorship', 'movie theatre', 'nuovo cinema paradiso']","['Philippe Noiret', 'Jacques Perrin', 'Marco Leonardi', 'Salvatore Cascio', 'Agnese Nano', 'Antonella Attili', 'Enzo Cannavale', 'Isa Danieli']",['Giuseppe Tornatore']
0,City of God,08/31/2002 ,"['Drama', 'Crime']",2h 10m,R,84,Portuguese,3300000,30641770,"['street gang', 'photographer', 'rio de janeiro', 'ghetto', 'gang war', 'coming of age', 'woman director']","['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen', 'Douglas Silva', 'Jonathan Haagensen', 'Matheus Nachtergaele', 'Seu Jorge', 'Jefechander Suplino']",['Fernando Meirelles']
0,Fight Club,10/15/1999 ,['Drama'],2h 19m,R,84,English,63000000,100853753,"['based on novel or book', 'support group', 'dual identity', 'nihilism', 'fight', 'rage and hate', 'insomnia', 'dystopia', 'alter ego', 'cult film', 'split personality', 'quitting a job', 'dissociative identity disorder', 'graphic violence', 'self destructiveness']","['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter', 'Meat Loaf', 'Jared Leto', 'Zach Grenier', 'Holt McCallany', 'Eion Bailey']",['David Fincher']
0,Seven Samurai,11/19/1956 ,"['Action', 'Drama']",3h 27m,NR,84,Japanese,2000000,271841,"['japan', 'samurai', 'sword', 'peasant', 'looting', 'rice', 'fencing', 'village', 'epic', 'moral ambiguity', 'battle', 'bandit', 'practice', '16th century']","['Toshirō Mifune', 'Takashi Shimura', 'Yoshio Inaba', 'Seiji Miyaguchi', 'Minoru Chiaki', 'Daisuke Katô', 'Isao Kimura', 'Keiko Tsushima']",['Akira Kurosawa']
0,The Art of Racing in the Rain,08/09/2019 ,"['Comedy', 'Drama', 'Romance']",1h 49m,PG,84,English,20000000,33692510,"['based on novel or book', 'reincarnation', 'sports', 'racing', 'dog', 'car', 'animal narrator']","['Milo Ventimiglia', 'Kevin Costner', 'Amanda Seyfried', 'Martin Donovan', 'Ian Lake', 'Gary Cole', 'Kathy Baker', 'McKinley Belcher III']",['Simon Curtis']
0,Spider-Man: Into the Spider-Verse,12/14/2018 ,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']",1h 57m,PG,84,English,90000000,375540831,"['superhero', 'based on comic', 'aftercreditsstinger', 'alternate universe']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry', 'Lily Tomlin', 'Lauren Vélez', 'Zoë Kravitz']","['Rodney Rothman', 'Bob Persichetti', 'Peter Ramsey']"
0,Grave of the Fireflies,04/16/1988 ,"['Animation', 'Drama', 'War']",1h 29m,12,84,Japanese,3700000,,"['sibling relationship', 'hunger', 'world war ii', 'shelter', 'wartime', 'anime', 'orphan siblings', 'children in wartime']","['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Yoshiko Shinohara', 'Akemi Yamaguchi']",['Isao Takahata']
0,The Great Dictator,10/15/1940 ,['Comedy'],2h 5m,G,84,English,2000000,11000000,"['dictator', 'hairdresser', 'amnesia', 'fascism', 'world war ii', 'jewish ghetto', 'world war i', 'jew / jewish', 'nazi', 'propaganda', 'national socialism', 'national socialist party', 'speech', 'satire', 'good vs evil', 'barbershop', 'fictitious country']","['Charlie Chaplin', 'Jack Oakie', 'Reginald Gardiner', 'Henry Daniell', 'Billy Gilbert', 'Grace Hayle', 'Carter DeHaven', 'Paulette Goddard']",['Charlie Chaplin']
0,Howl's Moving Castle,06/10/2005 ,"['Fantasy', 'Animation', 'Adventure']",1h 59m,PG,84,Japanese,24000000,236049757,"['flying', 'witch', 'rain', 'castle', 'scarecrow', 'body exchange', 'hatter', 'bakery', 'demon', 'anime', 'based on young adult novel']","['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa', 'Tatsuya Gashûin', 'Ryunosuke Kamiki', 'Haruko Kato', 'Yayoi Kazuki', 'Mayuno Yasokawa']",['Hayao Miyazaki']
0,Sunset Boulevard,08/10/1950 ,['Drama'],1h 50m,,84,English,1752000,5000000,"[""new year's eve"", 'screenwriter', 'jealousy', 'butler', 'loss of sense of reality', 'diva', 'delusion', 'noir', 'breaking the fourth wall', 'hollywood', 'los angeles, california', 'madness', 'aging actor', 'has been', 'silent film star', 'grandiose  behavior', 'kept man', 'movie studio']","['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson', 'Fred Clark', 'Lloyd Gough', 'Jack Webb', 'Franklyn Farnum']",['Billy Wilder']
0,Whiplash,10/10/2014 ,"['Drama', 'Music']",1h 47m,R,84,English,3300000,13092000,"['new york city', 'jazz', 'obsession', 'conservatory', 'music teacher', 'violence', 'montage', 'drummer', 'public humiliation', 'jazz band', 'young adult', 'music school']","['Miles Teller', 'J.K. Simmons', 'Paul Reiser', 'Melissa Benoist', 'Austin Stowell', 'Nate Lang', 'Jayson Blair', 'Kavita Patil']",['Damien Chazelle']
0,American History X,11/20/1998 ,['Drama'],1h 59m,R,84,English,20000000,23875127,"['neo nazism', 'prison', 'skinhead', 'sibling relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'los angeles, california', 'family', 'hate', 'xenophobia', 'interracial friendship', 'nazism']","['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien', 'Ethan Suplee', 'Fairuza Balk', 'Avery Brooks', 'Elliott Gould']",['Tony Kaye']
0,The Empire Strikes Back,06/20/1980 ,"['Adventure', 'Action', 'Science Fiction']",2h 4m,PG,84,English,18000000,538400000,"['rebel', 'android', 'asteroid', 'spacecraft', 'space battle', 'snow storm', 'space colony', 'lightsaber', 'jedi', 'good vs evil', 'rebellion', 'the force', 'space opera', 'stormtrooper', 'wookie', 'jedi master', 'jedi training', 'droid']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'James Earl Jones', 'Peter Mayhew']",['Irvin Kershner']
0,City Lights,03/07/1931 ,"['Comedy', 'Drama', 'Romance']",1h 27m,G,84,Language,1500000,19181,"['suicide attempt', 'operation', 'blindness and impaired vision', ""love of one's life"", 'eye operation', 'flower shop', 'flower girl', 'tramp', 'love', 'black and white', 'millionaire', 'silent film', 'blind girl', 'little tramp', 'foreign films in the ussr']","['Charlie Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Al Ernest Garcia', 'Hank Mann', 'Albert Austin', 'Eddie Baker']",['Charlie Chaplin']
0,Paths of Glory,12/25/1957 ,"['Drama', 'War']",1h 28m,NR,84,English,935000,,"['germany', 'france', 'based on novel or book', 'general', 'patriotism', 'world war i', 'song', 'army', 'cowardice', 'soldier', 'cult film', '1910s']","['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready', 'Wayne Morris', 'Richard Anderson', 'Joe Turkel', 'Timothy Carey']",['Stanley Kubrick']
0,Rear Window,09/01/1954 ,"['Drama', 'Mystery', 'Thriller']",1h 52m,PG,84,English,1000000,36764313,"['nurse', 'photographer', 'suspicion of murder', 'girlfriend', 'neighbor', 'salesman', 'apartment', 'convalescence', 'voyeurism', 'missing wife', 'homebound', 'suspicious behavior', 'flower bed', 'visiting nurse']","['James Stewart', 'Grace Kelly', 'Thelma Ritter', 'Wendell Corey', 'Raymond Burr', 'Judith Evelyn', 'Ross Bagdasarian', 'Georgine Darcy']",['Alfred Hitchcock']
0,Princess Mononoke,07/12/1997 ,"['Adventure', 'Fantasy', 'Animation']",2h 14m,PG-13,83,Japanese,26500000,159375308,"['fight', 'wolf', 'leprosy', 'pan', 'wild boar', 'territory', 'feral child', 'friendship', 'princess', 'good vs evil', 'rural area', 'decapitation', 'spirit', 'demon', 'deforestation', 'anime']","['Yōji Matsuda', 'Yuriko Ishida', 'Yūko Tanaka', 'Kaoru Kobayashi', 'Masahiko Nishimura', 'Tsunehiko Kamijô', 'Sumi Shimamoto', 'Tetsu Watanabe']",['Hayao Miyazaki']
0,Harakiri,09/11/1963 ,"['Action', 'Drama', 'History']",2h 15m,NR,83,Japanese,,,"['japan', 'suicide', 'asia', 'samurai', 'revenge', 'flashback', 'poverty', 'seppuku', 'ronin', '17th century', 'shogunate']","['Tatsuya Nakadai', 'Rentarô Mikuni', 'Shima Iwashita', 'Akira Ishihama', 'Yoshio Inaba', 'Masao Mishima', 'Kei Satō', 'Ichirô Nakatani']",['Masaki Kobayashi']
0,Ikiru,10/09/1952 ,['Drama'],2h 23m,PG,83,Japanese,,55240,"['bureaucracy', 'japan', 'age difference', 'bar', 'office', 'night life', 'sense of life', 'playground', 'obsequies', 'swing', 'loneliness', 'infatuation', 'bureaucrat']","['Takashi Shimura', 'Haruo Tanaka', 'Nobuo Kaneko', 'Bokuzen Hidari', 'Miki Odagiri', 'Shinichi Himori', 'Minoru Chiaki', 'Minosuke Yamada']",['Akira Kurosawa']
0,Sherlock: The Final Problem,01/15/2017 ,"['Drama', 'Mystery']",1h 30m,,83,English,,,"['sherlock holmes', 'tv episode']","['Benedict Cumberbatch', 'Martin Freeman', 'Mark Gatiss', 'Sian Brooke', 'Andrew Scott', 'Una Stubbs', 'Louise Brealey', 'Rupert Graves']",['Benjamin Caron']
0,Tokyo Story,03/13/1972 ,['Drama'],2h 14m,NR,83,Japanese,,,"['coma', 'beach', 'baby', 'fish', 'boat', 'office', 'baseball', 'classroom', 'dream', 'trip', 'lantern', 'lie', 'ambition', 'water', 'tea', 'song', 'retirement', 'cake', 'marriage', 'peace', 'class', 'swing', 'honor', 'gift', 'teacher', 'school', 'old man', 'old couple']","['Chishū Ryū', 'Chieko Higashiyama', 'Setsuko Hara', 'Haruko Sugimura', 'Sō Yamamura', 'Kuniko Miyake', 'Kyōko Kagawa', 'Eijirō Tōno']",['Yasujirō Ozu']
0,The Pianist,03/28/2003 ,"['Drama', 'War']",2h 30m,R,83,English,35000000,120072577,"['resistance', 'holocaust (shoah)', 'hunger', 'world war ii', 'prisoner of war', 'homeland', 'ghetto', 'deportation', 'hiding place', 'jew persecution', 'liberation', 'warsaw ghetto', 'polish resistance', 'nazi', 'biography', 'concert', 'survival', 'based on memoir or autobiography', 'pianist', 'poland']","['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Maureen Lipman', 'Emilia Fox', 'Ed Stoppard', 'Julia Rayner', 'Jessica Kate Meyer']",['Roman Polanski']
0,The Lord of the Rings: The Fellowship of the Ring,12/19/2001 ,"['Adventure', 'Fantasy', 'Action']",2h 58m,PG-13,83,English,93000000,871368364,"['elves', 'dwarf', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'loss of loved one', 'based on novel or book', 'river', 'mountain', 'mine', 'fireworks', 'castle', 'volcano', 'power', 'birthday party', 'uncle', 'addiction', 'battle', 'blizzard', 'wizard', 'journey', 'ring', 'sword and sorcery']","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Sean Astin', 'Liv Tyler', 'Orlando Bloom', 'John Rhys-Davies', 'Dominic Monaghan']",['Peter Jackson']
0,Dead Poets Society,06/09/1989 ,['Drama'],2h 8m,PG,83,English,16400000,235860116,"['individual', 'philosophy', 'poetry', 'professor', 'literature', 'friendship', 'teacher', 'school play', 'vermont', 'schoolteacher', 'preparatory school', ""a midsummer night's dream"", '1950s']","['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard', 'Gale Hansen', 'Josh Charles', 'Dylan Kussman', 'Allelon Ruggiero', 'James Waterston']",['Peter Weir']
0,Baraka,09/24/1993 ,['Documentary'],1h 36m,NR,83,English,4000000,,"['indigenous', 'time', 'community', 'prayer', 'spirituality', 'pagan']",[None],['Ron Fricke']
0,Investigation of a Citizen Above Suspicion,12/20/1970 ,"['Drama', 'Crime']",1h 55m,16,83,Italian,,,"['politics', 'police', 'whodunit', 'crime investigation']","['Gian Maria Volonté', 'Florinda Bolkan', 'Gianni Santuccio', 'Salvo Randone', 'Orazio Orlando', 'Sergio Tramonti', 'Arturo Dominici', 'Massimo Foschi']",['Elio Petri']
0,Come and See,12/06/1985 ,"['Drama', 'War', 'History', 'Horror']",2h 22m,NR,83,Russian,,96908,"['war crimes', 'world war ii', 'nazi', 'wehrmacht', 'insanity', 'surrealism', 'teenage girl', 'atrocity', 'genocide', 'russian army', 'mine field', 'horrors of war', 'premature aging', 'byelorussia', 'eastern front', 'children in wartime']","['Aleksei Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius', 'Vladas Bagdonas', 'Jüri Lumiste', 'Viktor Lorents', 'Kazimir Rabetsky', 'Yevgeni Tilicheyev']",['Elem Klimov']
0,Inception,07/16/2010 ,"['Action', 'Science Fiction', 'Adventure']",2h 28m,PG-13,83,English,160000000,825532764,"['paris, france', 'spy', 'philosophy', 'hotel', 'allegory', 'dream', 'virtual reality', 'fistfight', 'car crash', 'rescue', 'mission', 'los angeles, california', 'danger', 'zero gravity', 'dream world', 'idea', 'subconscious']","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Tom Hardy', 'Ken Watanabe', 'Cillian Murphy', 'Marion Cotillard', 'Michael Caine']",['Christopher Nolan']
0,Doctor Who: The Day of the Doctor,11/23/2013 ,"['Science Fiction', 'Adventure']",1h 17m,,83,English,,,"['time travel', 'alien', 'dalek', 'sci-fi television series', 'doctor who', 'zygon']","['Matt Smith', 'David Tennant', 'John Hurt', 'Jenna Coleman', 'Billie Piper', 'William Hartnell', 'Patrick Troughton', 'Jon Pertwee']",['Nick Hurran']
0,Mommy,05/22/2014 ,['Drama'],2h 18m,R,83,French,4900000,3494070,"['parent child relationship', 'canada', 'quebec', 'dysfunctional family', 'single mother', 'institutionalization', 'oedipus complex', 'behavioral disorders']","['Anne Dorval', 'Suzanne Clément', 'Antoine-Olivier Pilon', 'Patrick Huard', 'Alexandre Goyette', 'Michèle Lituac', 'Viviane Pacal', 'Natalie Hamel-Roy']",['Xavier Dolan']
0,Léon: The Professional,11/18/1994 ,"['Crime', 'Drama', 'Action']",1h 51m,R,83,English,16000000,45284974,"['new york city', 'corruption', 'loss of loved one', 'assassin', 'police brutality', 's.w.a.t.', 'immigrant', 'hitman', 'training', 'revenge', 'murder', 'loneliness', 'neighbor', 'tragic love', 'cult film', 'neo-noir', 'complex relationship']","['Jean Reno', 'Natalie Portman', 'Gary Oldman', 'Danny Aiello', 'Peter Appel', 'Michael Badalucco', 'Ellen Greene', 'Elizabeth Regen']",['Luc Besson']
0,Miracle in Cell No. 7,10/10/2019 ,"['Drama', 'Comedy', 'Family']",2h 12m,15,83,Turkish,,14478084,"['parent child relationship', 'prison cell', 'remake', 'wrongful imprisonment', 'based on movie', 'mentally challenged']","['Aras Bulut Iynemli', 'Nisa Sofiya Aksongur', 'Deniz Baysal', 'Celile Toyon Uysal', 'İlker Aksum', 'Mesut Akusta', 'Yurdaer Okur', 'Sarp Akkaya']",['Mehmet Ada Öztekin']
0,Twin Peaks: Northwest Passage,09/01/1989 ,"['Drama', 'Mystery', 'Crime', 'TV Movie']",1h 56m,,83,English,,,[],"['Kyle MacLachlan', 'Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook', 'Richard Beymer', 'Lara Flynn Boyle', 'Sherilyn Fenn', 'Warren Frost']",['David Lynch']
0,Neon Genesis Evangelion: The End of Evangelion,07/19/1997 ,"['Drama', 'Science Fiction', 'Animation', 'Fantasy', 'Action']",1h 27m,MA15+,83,Japanese,,20000000,"['philosophy', 'post-apocalyptic future', 'insanity', 'futuristic', 'mecha', 'violence', 'rebirth', 'anime']","['Megumi Ogata', 'Megumi Hayashibara', 'Kotono Mitsuishi', 'Yuko Miyamura', 'Fumihiko Tachiki', 'Miki Nagasawa', 'Takehito Koyasu', 'Hiro Yuuki']","['Kazuya Tsurumaki', 'Hideaki Anno']"
0,Se7en,09/22/1995 ,"['Crime', 'Mystery', 'Thriller']",2h 7m,R,83,English,33000000,327311859,"['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer', 'neo-noir']","['Brad Pitt', 'Morgan Freeman', 'Kevin Spacey', 'Gwyneth Paltrow', 'R. Lee Ermey', 'John C. McGinley', 'Julie Araskog', 'Mark Boone Junior']",['David Fincher']
